model,frame,atom_index,symbol,x_A,y_A,z_A,formal_charge_e,dft_raw_iao_charge_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e
polar1m,4,0,H,8.80100547,13.06351072,13.0474962,1.0,0.307418,0.307418,0.0357580184937,-0.2716599815063,0.2716599815063
polar1m,4,1,O,11.79362275,12.34858769,10.54371461,-2.0,1.387984,-0.6120159999999999,0.317018210888,0.9290342108879999,0.9290342108879999
polar1m,4,2,H,9.9317391,10.84567298,9.6932724,1.0,0.367629,0.367629,0.0229188166559,-0.3447101833441,0.3447101833441
polar1m,4,3,H,14.26805032,13.6789104,11.47970674,1.0,0.376575,0.376575,0.0186129286885,-0.3579620713115,0.3579620713115
polar1m,4,4,O,11.3483438,9.97789625,9.51861183,-2.0,1.188957,-0.811043,-0.0683783516288,0.7426646483711999,0.7426646483711999
polar1m,4,5,O,10.72989484,11.7689983,13.46934053,-2.0,1.285262,-0.7147380000000001,-0.0125731602311,0.7021648397689001,0.7021648397689001
polar1m,4,6,H,6.83493538,14.55599033,14.53083693,1.0,0.414836,0.414836,0.0201803147793,-0.3946556852207,0.3946556852207
polar1m,4,7,H,15.65910398,16.72966777,10.27634452,1.0,0.412978,0.412978,0.0275831595063,-0.3853948404937,0.3853948404937
polar1m,4,8,O,9.67191749,11.51506538,10.42908314,-2.0,1.246864,-0.753136,-0.0506591275334,0.7024768724666001,0.7024768724666001
polar1m,4,9,H,11.42269176,12.60458367,9.6585892,1.0,0.465624,0.465624,0.0303338877857,-0.4352901122143,0.4352901122143
polar1m,4,10,H,11.25903085,9.70639755,13.29562957,1.0,0.298315,0.298315,0.0194105841219,-0.2789044158781,0.2789044158781
polar1m,4,11,O,9.30607628,13.22109553,12.08095759,-2.0,1.340586,-0.659414,-0.147890537977,0.5115234620229999,0.5115234620229999
polar1m,4,12,O,14.68643736,16.39734939,10.09752912,-2.0,1.326536,-0.6734640000000001,0.00237437337637,0.6758383733763701,0.6758383733763701
polar1m,4,13,O,11.40418925,9.48298464,14.26884508,-2.0,1.166125,-0.8338749999999999,-0.476986765862,0.3568882341379999,0.3568882341379999
polar1m,4,14,H,8.0096645,14.1879594,13.18239253,1.0,0.328632,0.328632,0.0203844159842,-0.3082475840158,0.3082475840158
polar1m,4,15,O,8.70862985,10.61675447,12.42240552,-2.0,1.210252,-0.7897479999999999,-0.0428938008845,0.7468541991154999,0.7468541991154999
polar1m,4,16,H,14.7088626,16.08285257,9.1298046,1.0,0.406014,0.406014,0.0269669182599,-0.3790470817401,0.3790470817401
polar1m,4,17,H,16.84833018,13.58552558,9.10335277,1.0,0.41117,0.41117,0.0272537171841,-0.38391628281589996,0.38391628281589996
polar1m,4,18,H,11.49238913,6.92790589,13.59008108,1.0,0.368422,0.368422,0.0204865224659,-0.34793547753410003,0.34793547753410003
polar1m,4,19,H,13.89463467,12.96909628,14.1787055,1.0,0.426562,0.426562,0.0236879140139,-0.4028740859861,0.4028740859861
polar1m,4,20,H,10.244132,12.51251184,13.59283417,1.0,0.397116,0.397116,0.016792409122,-0.38032359087800005,0.38032359087800005
polar1m,4,21,H,11.90210506,10.00885142,10.28376771,1.0,0.3876,0.3876,0.0193748325109,-0.3682251674891,0.3682251674891
polar1m,4,22,O,12.99503514,9.29799039,12.17130268,-2.0,1.220841,-0.7791589999999999,-0.0516568049788,0.7275021950212,0.7275021950212
polar1m,4,23,H,10.68953666,16.04149317,12.48980739,1.0,0.433133,0.433133,0.0304939486086,-0.4026390513914,0.4026390513914
polar1m,4,24,O,12.84587636,8.33830632,8.15220609,-2.0,1.265733,-0.734267,0.0171989873052,0.7514659873052,0.7514659873052
polar1m,4,25,H,12.94429712,10.17513867,12.61630912,1.0,0.348528,0.348528,0.0165173634887,-0.33201063651130003,0.33201063651130003
polar1m,4,26,H,15.89070227,12.65759286,10.56747578,1.0,0.370207,0.370207,0.0115245133638,-0.3586824866362,0.3586824866362
polar1m,4,27,H,9.53666832,10.52208227,12.78458394,1.0,0.380419,0.380419,0.0184286236763,-0.3619903763237,0.3619903763237
polar1m,4,28,O,14.02898964,14.03027215,10.60101107,-2.0,1.178166,-0.821834,-0.0536543391645,0.7681796608354999,0.7681796608354999
polar1m,4,29,H,10.73152804,14.98029955,13.60881221,1.0,0.436767,0.436767,0.0298134088516,-0.4069535911484,0.4069535911484
