frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
84,polar1s,polar-1-s,polar,cuda,float32,43,H29O14,-29123.1894531,-677.283475654,7.50365845406,3.63715307875,1,0,ok,
85,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24963.7695312,-674.696473818,11.7008252574,3.84516426969,1,2.38418579102e-07,ok,
86,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27043.8085938,-676.095214844,7.96599627544,3.96839770026,1,1.34110450745e-07,ok,
87,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18728.6660156,-668.880929129,6.77725031293,3.21385989892,1,1.49011611938e-08,ok,
88,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24965.5761719,-674.745301943,5.91244428262,3.14997993704,1,-2.38418579102e-07,ok,
89,polar1s,polar-1-s,polar,cuda,float32,43,H29O14,-29123.4980469,-677.290652253,7.41205987184,3.36661951155,1,-1.49011611938e-08,ok,
90,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20808.8496094,-671.253213206,5.57208010687,2.93495924908,1,1.19209289551e-07,ok,
91,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20808.4902344,-671.241620464,7.31905985735,3.54743141862,1,1.04308128357e-07,ok,
92,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18730.2988281,-668.939243862,6.32380956906,2.90005223211,1,3.8743019104e-07,ok,
93,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20808.5566406,-671.243762601,7.74270548812,3.38463788738,1,2.68220901489e-07,ok,
94,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22886.8359375,-673.142233456,12.4609310635,3.86470715283,1,-2.08616256714e-07,ok,
95,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22887.6308594,-673.165613511,6.5736062371,2.831377748,1,-1.34110450745e-07,ok,
96,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24969.0546875,-674.839315878,5.27849496156,2.95522319823,1,-2.98023223877e-08,ok,
97,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27047.9609375,-676.199023438,6.47659632719,2.93752565271,1,2.98023223877e-08,ok,
98,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18728.3144531,-668.868373326,10.2774307035,4.07224042297,1,-1.49011611938e-08,ok,
99,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20808.8554688,-671.253402218,5.90352829933,3.19559547492,1,-1.78813934326e-07,ok,
100,polar1s,polar-1-s,polar,cuda,float32,44,H29O15,-31170.2792969,-708.415438565,11.3047911627,3.90356682264,-1,2.38418579102e-07,ok,
101,polar1s,polar-1-s,polar,cuda,float32,44,H29O15,-31168.46875,-708.374289773,10.125457106,3.52993130617,-1,1.49011611938e-08,ok,
102,polar1s,polar-1-s,polar,cuda,float32,44,H29O15,-31166.9785156,-708.34042081,7.96485872959,3.93635348872,-1,0,ok,
103,polar1s,polar-1-s,polar,cuda,float32,53,H35O18,-37409.4882812,-705.839401533,13.9372814673,3.9859365856,-1,-5.96046447754e-08,ok,
104,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29108.5449219,-693.060593378,8.40664406413,4.19863648486,0,-8.94069671631e-08,ok,
105,polar1s,polar-1-s,polar,cuda,float32,50,H33O17,-35328.2851562,-706.565703125,11.6368413606,4.09121741645,-1,-2.98023223877e-08,ok,
106,polar1s,polar-1-s,polar,cuda,float32,44,H29O15,-31169.1933594,-708.390758168,8.27754792529,3.41801243443,-1,2.98023223877e-08,ok,
107,polar1s,polar-1-s,polar,cuda,float32,38,H25O13,-27008.6855469,-710.754882812,6.50652955065,3.32112043021,-1,1.19209289551e-07,ok,
108,polar1s,polar-1-s,polar,cuda,float32,50,H33O17,-35327.6523438,-706.553046875,6.78670991294,3.14117782522,-1,-5.96046447754e-08,ok,
109,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24949.375,-693.038194444,7.39112924236,3.6874763569,0,-4.47034835815e-08,ok,
110,polar1s,polar-1-s,polar,cuda,float32,22,H15O7,-14569.3164062,-662.24165483,6.02442754217,3.21842094891,1,3.57627868652e-07,ok,
111,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18727.7539062,-668.848353795,7.51295794535,3.4752420858,1,-1.19209289551e-07,ok,
112,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22887.4960938,-673.161649816,6.7046669381,3.76587074789,1,1.9371509552e-07,ok,
113,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24966.1972656,-674.76208826,6.03823380504,3.32397497012,1,2.98023223877e-08,ok,
114,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24966.8691406,-674.780247044,9.50391276922,4.12967520375,1,-1.49011611938e-07,ok,
115,polar1s,polar-1-s,polar,cuda,float32,43,H29O14,-29123.9492188,-677.301144622,9.87033393796,4.0957516644,1,-5.96046447754e-08,ok,
116,polar1s,polar-1-s,polar,cuda,float32,49,H33O16,-33281.234375,-679.208864796,7.00646932783,3.5261763056,1,1.34110450745e-07,ok,
117,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27040.5722656,-676.014306641,11.9131417859,4.52505959784,1,-1.04308128357e-07,ok,
118,polar1s,polar-1-s,polar,cuda,float32,57,H38O19,-39500.5234375,-692.991639254,8.99312980141,3.52623982559,0,-1.49011611938e-08,ok,
119,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24963.1191406,-674.678895693,9.76425455311,3.62533467652,1,1.04308128357e-07,ok,
120,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16648.3261719,-665.933046875,6.8404467049,3.0991677541,1,-2.23517417908e-08,ok,
121,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20806.5097656,-671.177734375,9.09131033483,3.72220634676,1,-7.45058059692e-08,ok,
122,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18727.0957031,-668.82484654,9.78004933229,4.04994592185,1,-8.94069671631e-08,ok,
123,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16648.4257812,-665.93703125,8.14059382116,3.94049399675,1,6.70552253723e-08,ok,
124,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16649.4257812,-665.97703125,6.57662357988,2.80424410002,1,-1.49011611938e-07,ok,
125,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18726.6640625,-668.809430804,7.71045596057,3.72161848156,1,-1.49011611938e-07,ok,
126,polar1s,polar-1-s,polar,cuda,float32,22,H15O7,-14569.0234375,-662.228338068,6.2143567483,2.63138587285,1,8.94069671631e-08,ok,
127,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16646.8710938,-665.87484375,6.799845284,2.95740191885,1,4.47034835815e-08,ok,
128,polar1s,polar-1-s,polar,cuda,float32,25,H17O8,-16646.6503906,-665.866015625,7.4947793884,3.31235192474,1,-3.72529029846e-08,ok,
129,polar1s,polar-1-s,polar,cuda,float32,22,H15O7,-14569.0654297,-662.230246804,5.88828000974,3.07645611029,1,7.45058059692e-08,ok,
130,polar1s,polar-1-s,polar,cuda,float32,24,H16O8,-16627.1640625,-692.798502604,10.1714518764,4.8467955496,0,-5.96046447754e-08,ok,
131,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22867.2246094,-692.946200284,11.2240314837,4.02143313936,0,-7.45058059692e-08,ok,
132,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29106.9648438,-693.02297247,15.0956996578,4.63615219137,0,7.45058059692e-08,ok,
133,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27028.53125,-693.039262821,13.2451871612,4.65160578326,0,1.63912773132e-07,ok,
134,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27027.8085938,-693.020733173,10.0166802736,3.79033920995,0,1.04308128357e-07,ok,
135,polar1s,polar-1-s,polar,cuda,float32,27,H18O9,-18709.3203125,-692.937789352,10.9930202179,4.86965709029,0,5.96046447754e-08,ok,
136,polar1s,polar-1-s,polar,cuda,float32,24,H16O8,-16630.1152344,-692.921468099,12.23191253,5.02992292432,0,-1.34110450745e-07,ok,
137,polar1s,polar-1-s,polar,cuda,float32,31,H21O10,-20803.9472656,-671.095073085,11.1592030279,4.53445357356,1,7.45058059692e-08,ok,
138,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18724.2539062,-668.723353795,10.001252257,4.43971902579,1,0,ok,
139,polar1s,polar-1-s,polar,cuda,float32,28,H19O9,-18726.0253906,-668.786621094,7.22645172667,3.55432205712,1,1.34110450745e-07,ok,
140,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29108.5605469,-693.060965402,10.4174192426,4.36894899234,0,1.19209289551e-07,ok,
141,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24950.0019531,-693.055609809,7.19971334601,3.29543650496,0,2.98023223877e-08,ok,
142,polar1s,polar-1-s,polar,cuda,float32,36,H24O12,-24948.0332031,-693.000922309,6.7167752132,3.49850235016,0,-1.34110450745e-07,ok,
143,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27029.2753906,-693.058343349,7.41408896005,3.42310702183,0,-7.45058059692e-08,ok,
144,polar1s,polar-1-s,polar,cuda,float32,38,H25O13,-27010.0878906,-710.791786595,20.7004081996,6.44285429808,-1,1.49011611938e-08,ok,
145,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20790.1601562,-693.005338542,9.26487505521,3.15404449899,0,-7.45058059692e-08,ok,
146,polar1s,polar-1-s,polar,cuda,float32,24,H16O8,-16627.6855469,-692.82023112,9.86049593765,4.18868802322,0,1.49011611938e-07,ok,
147,polar1s,polar-1-s,polar,cuda,float32,35,H23O12,-24930.3066406,-712.294475446,6.47691617484,2.65024666826,-1,-1.04308128357e-07,ok,
148,polar1s,polar-1-s,polar,cuda,float32,27,H18O9,-18711.09375,-693.003472222,9.30897271168,4.35680764488,0,8.94069671631e-08,ok,
149,polar1s,polar-1-s,polar,cuda,float32,30,H20O10,-20791.5585938,-693.051953125,8.03860288825,3.89966478455,0,1.49011611938e-08,ok,
150,polar1s,polar-1-s,polar,cuda,float32,39,H26O13,-27030.8808594,-693.099509215,7.85217971629,3.73106593478,0,-1.34110450745e-07,ok,
151,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24963.671875,-674.693834459,11.3601576482,4.17026976083,1,1.49011611938e-07,ok,
152,polar1s,polar-1-s,polar,cuda,float32,43,H29O14,-29125.3320312,-677.333303052,5.88167553726,2.74013139424,1,1.04308128357e-07,ok,
153,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24966.2167969,-674.762616132,8.87773712513,3.80734407362,1,1.34110450745e-07,ok,
