frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
105,off,medium,off,cuda,float32,50,H33O17,-35350.4726562,-707.009453125,11.3158230943,3.96961810444,-1,,ok,
106,off,medium,off,cuda,float32,44,H29O15,-31189.9042969,-708.861461293,7.78061501893,3.35480063717,-1,,ok,
107,off,medium,off,cuda,float32,38,H25O13,-27028.0351562,-711.264083059,6.89352827181,3.33563556417,-1,,ok,
108,off,medium,off,cuda,float32,50,H33O17,-35351.6523438,-707.033046875,6.64714940182,3.3705106299,-1,,ok,
109,off,medium,off,cuda,float32,36,H24O12,-24966.5605469,-693.515570747,7.7621237063,3.73423838421,0,,ok,
110,off,medium,off,cuda,float32,22,H15O7,-14579.8359375,-662.719815341,5.60405352403,3.23162600031,1,,ok,
111,off,medium,off,cuda,float32,28,H19O9,-18740.0839844,-669.288713728,7.29750440867,3.44680112461,1,,ok,
112,off,medium,off,cuda,float32,34,H23O11,-22901.7167969,-673.57990579,6.61803056181,3.87455590158,1,,ok,
113,off,medium,off,cuda,float32,37,H25O12,-24982.0097656,-675.189453125,5.47564280095,3.37125036955,1,,ok,
114,off,medium,off,cuda,float32,37,H25O12,-24983.2578125,-675.223184122,9.3976812314,4.1714977291,1,,ok,
115,off,medium,off,cuda,float32,43,H29O14,-29142.9667969,-677.743413881,9.68364791541,3.95292158708,1,,ok,
116,off,medium,off,cuda,float32,49,H33O16,-33302.4726562,-679.642299107,7.54234191143,3.60613604633,1,,ok,
117,off,medium,off,cuda,float32,40,H27O13,-27058.09375,-676.45234375,11.7805347417,4.66466865898,1,,ok,
118,off,medium,off,cuda,float32,57,H38O19,-39527.6171875,-693.466968202,8.02757061615,3.52709614907,0,,ok,
119,off,medium,off,cuda,float32,37,H25O12,-24980.1679688,-675.139674831,8.9757583182,3.57482447987,1,,ok,
120,off,medium,off,cuda,float32,25,H17O8,-16659.5332031,-666.381328125,6.23846689479,2.86920456745,1,,ok,
121,off,medium,off,cuda,float32,31,H21O10,-20820.1035156,-671.61624244,9.05141471945,3.78945263118,1,,ok,
122,off,medium,off,cuda,float32,28,H19O9,-18739.9355469,-669.283412388,9.92411922088,3.91131372572,1,,ok,
123,off,medium,off,cuda,float32,25,H17O8,-16660.1464844,-666.405859375,8.01615335447,3.67256382703,1,,ok,
124,off,medium,off,cuda,float32,25,H17O8,-16661.265625,-666.450625,6.60329840536,2.89404791095,1,,ok,
125,off,medium,off,cuda,float32,28,H19O9,-18740.1660156,-669.291643415,7.59239015841,3.56295041754,1,,ok,
126,off,medium,off,cuda,float32,22,H15O7,-14580.4453125,-662.747514205,4.1956745185,2.51765324398,1,,ok,
127,off,medium,off,cuda,float32,25,H17O8,-16659.2304688,-666.36921875,7.93177388679,2.8938725481,1,,ok,
128,off,medium,off,cuda,float32,25,H17O8,-16658.9902344,-666.359609375,7.91274149629,3.02255460317,1,,ok,
129,off,medium,off,cuda,float32,22,H15O7,-14579.8310547,-662.719593395,6.00366605348,2.95945645823,1,,ok,
130,off,medium,off,cuda,float32,24,H16O8,-16640.2324219,-693.343017578,10.3300224864,4.36220576664,0,,ok,
131,off,medium,off,cuda,float32,33,H22O11,-22883.4355469,-693.437440814,6.17359899966,3.4283292314,0,,ok,
132,off,medium,off,cuda,float32,42,H28O14,-29125.6855469,-693.468703497,12.2726185005,4.27360184282,0,,ok,
133,off,medium,off,cuda,float32,39,H26O13,-27045.03125,-693.462339744,11.6778889326,4.42437629952,0,,ok,
134,off,medium,off,cuda,float32,39,H26O13,-27044.3320312,-693.444411058,8.6811175345,3.53505004398,0,,ok,
135,off,medium,off,cuda,float32,27,H18O9,-18720.359375,-693.346643519,11.0507872437,4.68690946307,0,,ok,
136,off,medium,off,cuda,float32,24,H16O8,-16639.390625,-693.307942708,11.7455955118,4.8654499681,0,,ok,
137,off,medium,off,cuda,float32,31,H21O10,-20817.1523438,-671.521043347,10.4498500086,4.61999618177,1,,ok,
138,off,medium,off,cuda,float32,28,H19O9,-18736.8066406,-669.171665737,9.93731066272,4.46579952749,1,,ok,
139,off,medium,off,cuda,float32,28,H19O9,-18739.3574219,-669.262765067,5.9364383665,3.33432771563,1,,ok,
140,off,medium,off,cuda,float32,42,H28O14,-29128.8847656,-693.544875372,10.2689790156,4.18050694724,0,,ok,
141,off,medium,off,cuda,float32,36,H24O12,-24966.46875,-693.513020833,7.44370919506,3.35502037015,0,,ok,
142,off,medium,off,cuda,float32,36,H24O12,-24963.6757812,-693.435438368,9.24939823018,3.93849784422,0,,ok,
143,off,medium,off,cuda,float32,39,H26O13,-27046.1171875,-693.490184295,7.4460642599,3.55066698732,0,,ok,
144,off,medium,off,cuda,float32,38,H25O13,-27028.7578125,-711.283100329,15.9508298462,5.6139191902,-1,,ok,
145,off,medium,off,cuda,float32,30,H20O10,-20804.5683594,-693.485611979,9.11412413034,3.08354101459,0,,ok,
146,off,medium,off,cuda,float32,24,H16O8,-16639.8339844,-693.326416016,9.53975048994,3.91466734901,0,,ok,
147,off,medium,off,cuda,float32,35,H23O12,-24948.8046875,-712.822991071,6.05511204896,2.81519393508,-1,,ok,
148,off,medium,off,cuda,float32,27,H18O9,-18724.8203125,-693.511863426,9.03720084213,4.10915748131,0,,ok,
149,off,medium,off,cuda,float32,30,H20O10,-20805.65625,-693.521875,7.87654600616,3.81238135234,0,,ok,
150,off,medium,off,cuda,float32,39,H26O13,-27047.4960938,-693.525540865,7.95032642851,3.64965448767,0,,ok,
151,off,medium,off,cuda,float32,37,H25O12,-24979.5078125,-675.12183277,11.6025646661,4.31328836794,1,,ok,
152,off,medium,off,cuda,float32,43,H29O14,-29143.7128906,-677.760764898,5.68059038604,2.87302269203,1,,ok,
153,off,medium,off,cuda,float32,37,H25O12,-24982.3730469,-675.199271537,8.09961250236,3.75328476982,1,,ok,
154,off,medium,off,cuda,float32,31,H21O10,-20822.890625,-671.706149194,10.4637188052,3.70440382444,1,,ok,
155,off,medium,off,cuda,float32,37,H25O12,-24981.3515625,-675.171663851,19.4059126065,6.39959553454,1,,ok,
156,off,medium,off,cuda,float32,34,H23O11,-22902.3632812,-673.598920037,12.0130504344,4.27652944354,1,,ok,
157,off,medium,off,cuda,float32,31,H21O10,-20821.5371094,-671.662487399,7.98221035033,3.70078740312,1,,ok,
158,off,medium,off,cuda,float32,27,H18O9,-18725.3457031,-693.531322338,8.89013656766,3.83108265529,0,,ok,
159,off,medium,off,cuda,float32,27,H18O9,-18723.9335938,-693.479021991,9.90433976395,4.35981259473,0,,ok,
160,off,medium,off,cuda,float32,43,H29O14,-29139.8652344,-677.67128452,10.2901611534,4.25982282103,1,,ok,
161,off,medium,off,cuda,float32,40,H27O13,-27061.0898438,-676.527246094,7.20816094661,3.48609105762,1,,ok,
162,off,medium,off,cuda,float32,25,H17O8,-16659.4648438,-666.37859375,9.3178180985,3.84200574556,1,,ok,
163,off,medium,off,cuda,float32,27,H18O9,-18722.6933594,-693.433087384,12.8679579729,5.10317934736,0,,ok,
164,off,medium,off,cuda,float32,30,H20O10,-20803.5136719,-693.450455729,10.3208871494,4.54156953875,0,,ok,
165,off,medium,off,cuda,float32,28,H19O9,-18739.0976562,-669.253487723,12.1437875457,5.19028889215,1,,ok,
166,off,medium,off,cuda,float32,31,H21O10,-20821.6738281,-671.666897681,5.40140951234,2.83607841551,1,,ok,
167,off,medium,off,cuda,float32,37,H25O12,-24981.4277344,-675.173722551,8.58104621959,3.93844912606,1,,ok,
168,off,medium,off,cuda,float32,40,H27O13,-27063.5683594,-676.589208984,7.38651486979,3.57055924388,1,,ok,
169,off,medium,off,cuda,float32,40,H27O13,-27063.4042969,-676.585107422,9.27772557878,4.24354116984,1,,ok,
170,off,medium,off,cuda,float32,37,H25O12,-24983.4453125,-675.228251689,6.72624087806,3.42724216005,1,,ok,
171,off,medium,off,cuda,float32,37,H25O12,-24981.1738281,-675.16686022,9.62575420069,3.61360463429,1,,ok,
172,off,medium,off,cuda,float32,42,H28O14,-29125.0410156,-693.453357515,7.20266049491,3.62425249763,0,,ok,
173,off,medium,off,cuda,float32,31,H21O10,-20818.9296875,-671.578377016,10.831727154,4.47876318584,1,,ok,
174,off,medium,off,cuda,float32,39,H26O13,-27046.4980469,-693.49994992,6.71767076573,3.13890004155,0,,ok,
175,off,medium,off,cuda,float32,30,H20O10,-20804.4609375,-693.48203125,11.6840703447,4.42997960616,0,,ok,
176,off,medium,off,cuda,float32,36,H24O12,-24964.1210938,-693.44780816,13.5111110359,3.98729515681,0,,ok,
177,off,medium,off,cuda,float32,49,H33O16,-33300.640625,-679.604910714,11.2399037234,4.3785567075,1,,ok,
178,off,medium,off,cuda,float32,37,H25O12,-24981.2089844,-675.167810389,10.1704214203,4.60203524297,1,,ok,
179,off,medium,off,cuda,float32,35,H23O12,-24949.8125,-712.851785714,7.04729495905,3.21086236399,-1,,ok,
