frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
126,off,medium,off,cuda,float32,22,H15O7,-14580.4453125,-662.747514205,4.1956753867,2.51765342416,1,1,,ok,
127,off,medium,off,cuda,float32,25,H17O8,-16659.2304688,-666.36921875,7.93177288294,2.89387247861,1,1,,ok,
128,off,medium,off,cuda,float32,25,H17O8,-16658.9902344,-666.359609375,7.9127403492,3.02255438522,1,1,,ok,
129,off,medium,off,cuda,float32,22,H15O7,-14579.8310547,-662.719593395,6.00366524779,2.9594562579,1,1,,ok,
130,off,medium,off,cuda,float32,24,H16O8,-16640.2324219,-693.343017578,10.3300215859,4.3622056817,0,0,,ok,
131,off,medium,off,cuda,float32,33,H22O11,-22883.4355469,-693.437440814,6.17359869923,3.42832918783,0,0,,ok,
132,off,medium,off,cuda,float32,42,H28O14,-29125.6855469,-693.468703497,12.2726193306,4.27360178359,0,0,,ok,
133,off,medium,off,cuda,float32,39,H26O13,-27045.03125,-693.462339744,11.6778899992,4.42437636524,0,0,,ok,
134,off,medium,off,cuda,float32,39,H26O13,-27044.3320312,-693.444411058,8.681116975,3.53505000278,0,0,,ok,
135,off,medium,off,cuda,float32,27,H18O9,-18720.359375,-693.346643519,11.0507877817,4.68690936927,0,0,,ok,
136,off,medium,off,cuda,float32,24,H16O8,-16639.390625,-693.307942708,11.7455936171,4.8654497636,0,0,,ok,
137,off,medium,off,cuda,float32,31,H21O10,-20817.1523438,-671.521043347,10.4498511294,4.61999630369,1,1,,ok,
138,off,medium,off,cuda,float32,28,H19O9,-18736.8066406,-669.171665737,9.93730901556,4.4657993685,1,1,,ok,
139,off,medium,off,cuda,float32,28,H19O9,-18739.3574219,-669.262765067,5.93643878483,3.3343278941,1,1,,ok,
140,off,medium,off,cuda,float32,42,H28O14,-29128.8847656,-693.544875372,10.2689789137,4.18050702392,0,0,,ok,
141,off,medium,off,cuda,float32,36,H24O12,-24966.46875,-693.513020833,7.44370868284,3.35502017932,0,0,,ok,
142,off,medium,off,cuda,float32,36,H24O12,-24963.6757812,-693.435438368,9.24939307575,3.93849747231,0,0,,ok,
143,off,medium,off,cuda,float32,39,H26O13,-27046.1171875,-693.490184295,7.44606380967,3.55066691301,0,0,,ok,
144,off,medium,off,cuda,float32,38,H25O13,-27028.7578125,-711.283100329,15.9508299858,5.61391934304,-1,-1,,ok,
145,off,medium,off,cuda,float32,30,H20O10,-20804.5683594,-693.485611979,9.11412315068,3.08354089914,0,0,,ok,
146,off,medium,off,cuda,float32,24,H16O8,-16639.8339844,-693.326416016,9.53974933916,3.91466740936,0,0,,ok,
147,off,medium,off,cuda,float32,35,H23O12,-24948.8046875,-712.822991071,6.05511057656,2.81519373031,-1,-1,,ok,
148,off,medium,off,cuda,float32,27,H18O9,-18724.8203125,-693.511863426,9.03720135559,4.10915755606,0,0,,ok,
149,off,medium,off,cuda,float32,30,H20O10,-20805.65625,-693.521875,7.87654698941,3.8123813535,0,0,,ok,
150,off,medium,off,cuda,float32,39,H26O13,-27047.4960938,-693.525540865,7.95032709697,3.64965458226,0,0,,ok,
151,off,medium,off,cuda,float32,37,H25O12,-24979.5078125,-675.12183277,11.6025663383,4.31328848352,1,1,,ok,
152,off,medium,off,cuda,float32,43,H29O14,-29143.7128906,-677.760764898,5.68058963324,2.87302265975,1,1,,ok,
153,off,medium,off,cuda,float32,37,H25O12,-24982.3730469,-675.199271537,8.09961323711,3.75328499492,1,1,,ok,
154,off,medium,off,cuda,float32,31,H21O10,-20822.890625,-671.706149194,10.4637186624,3.70440377338,1,1,,ok,
155,off,medium,off,cuda,float32,37,H25O12,-24981.3515625,-675.171663851,19.4059091865,6.39959515907,1,1,,ok,
