frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
145,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20789.9785156,-692.999283854,9.11762855906,3.16438925414,0,0,-3.72529029846e-08,ok,
146,polar1m,polar-1-m,polar,cuda,float32,24,H16O8,-16627.0859375,-692.795247396,9.52398219265,4.19080784068,0,0,-8.94069671631e-08,ok,
147,polar1m,polar-1-m,polar,cuda,float32,35,H23O12,-24934.5507812,-712.415736607,6.77542919047,2.6577498781,-1,-1,-1.00000004284,ok,
148,polar1m,polar-1-m,polar,cuda,float32,27,H18O9,-18710.2949219,-692.973885995,9.40553208994,4.41110341737,0,0,-7.45058059692e-09,ok,
149,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20791.0644531,-693.035481771,8.12993323627,3.98692012196,0,0,-7.45058059692e-09,ok,
150,polar1m,polar-1-m,polar,cuda,float32,39,H26O13,-27030.7441406,-693.096003606,7.87190011856,3.79616985045,0,0,-7.264316082e-08,ok,
151,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24957.109375,-674.516469595,11.7697214718,4.413196764,1,1,0.999999959022,ok,
152,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29118.7617188,-677.180505087,5.74738617568,2.96127057709,1,1,0.99999997206,ok,
153,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24959.9316406,-674.592747044,8.6966572501,3.99999552365,1,1,0.999999990687,ok,
154,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20803.7207031,-671.087764617,10.5830890005,3.90672391465,1,1,0.999999990687,ok,
155,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24959.5097656,-674.581345017,27.7811375316,7.81516415812,1,1,0.999999986961,ok,
156,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22882.34375,-673.010110294,12.911800493,4.41220591837,1,1,0.999999970198,ok,
157,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20802.234375,-671.039818548,8.72457728784,3.85997353538,1,1,1.00000003353,ok,
158,polar1m,polar-1-m,polar,cuda,float32,27,H18O9,-18711.9921875,-693.036747685,7.79513367021,3.87885701667,0,0,4.09781932831e-08,ok,
159,polar1m,polar-1-m,polar,cuda,float32,27,H18O9,-18710.703125,-692.98900463,10.869403398,4.5019559772,0,0,-1.30385160446e-08,ok,
160,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29113.8808594,-677.06699673,10.6618231345,4.39925819086,1,1,1.00000002049,ok,
161,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27035.8964844,-675.897412109,7.24975052812,3.87900562771,1,1,0.999999998137,ok,
162,polar1m,polar-1-m,polar,cuda,float32,25,H17O8,-16641.2773438,-665.65109375,9.06672320406,4.11460282685,1,1,0.999999975786,ok,
163,polar1m,polar-1-m,polar,cuda,float32,27,H18O9,-18709.6113281,-692.948567708,15.7667263145,5.71217779986,0,0,6.51925802231e-08,ok,
164,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20788.9453125,-692.96484375,10.1154072481,4.57277595738,0,0,3.72529029846e-09,ok,
